province,fire_cause,fire_type,response_type,protection_zone,fn_indicator,dist_to_fn_km,n_fn_20km,any_evacuation,log_fire_size_ha
NT,natural,unknown,monitor,monitor,False,75.01051510270845,0,False,2.045293150601396
NT,natural,unknown,monitor,monitor,False,158.66897226471602,0,False,0.7173612547917914
NT,natural,unknown,monitor,monitor,False,160.43458129370484,0,False,1.9263938153987037
NT,natural,unknown,monitor,monitor,False,169.47599956142926,0,False,1.7703532744444244
NT,natural,unknown,monitor,monitor,False,174.78350388272906,0,False,1.120891384605912
NT,natural,unknown,monitor,monitor,False,138.88913655124685,0,False,2.0286577912419403
NT,natural,unknown,monitor,monitor,False,129.69931421576615,0,False,-0.9262337125962706
NT,natural,unknown,monitor,monitor,False,95.51682386663576,0,False,-1.1075408656381058
NT,natural,unknown,other,other,False,122.05957410646286,0,False,1.8319581326645589
NT,natural,unknown,other,other,False,115.1050442336589,0,False,-0.0511957277818771
NT,natural,unknown,other,other,False,96.90199966099044,0,False,-0.6297545619664705
NT,natural,unknown,other,other,False,90.46845601364883,0,False,-0.7855089144719057
NT,natural,unknown,other,other,False,87.92672632465386,0,False,-0.6297545619664705
NT,natural,unknown,other,other,False,74.60097166013104,0,False,-1.0668799016670216
NT,natural,unknown,other,other,False,92.98491696699314,0,False,0.2357767246723337
NT,natural,unknown,other,other,False,126.15890015457228,0,False,-1.0668799016670216
NT,natural,unknown,other,other,False,136.78804176105393,0,False,-0.3480294034506625
NT,natural,unknown,other,other,False,163.01079197374983,0,False,-1.3627700895731674
NT,natural,unknown,other,other,False,160.71488683928908,0,False,-0.9199601124539348
NT,natural,unknown,other,other,False,177.57814459410878,0,False,-1.1075408656381058
NT,natural,unknown,other,other,False,166.17774096704156,0,False,-0.9262337125962706
NT,natural,unknown,other,other,False,179.5837679943267,0,False,-0.6704810478107414
NT,natural,unknown,other,other,False,166.59174670756934,0,False,-0.8381014017660084
NT,natural,unknown,other,other,False,132.7217105501551,0,False,-1.0571106186960648
NT,natural,unknown,other,other,False,153.42295862107378,0,False,-1.2480562354008746
NT,natural,unknown,other,other,False,191.98985447083336,0,False,-1.1075408656381058
NT,natural,unknown,other,other,False,168.4206901361671,0,False,-1.1075408656381058
NT,natural,unknown,other,other,False,160.9120523506946,0,False,-0.0835953906061801
NT,natural,unknown,other,other,False,147.55740451623817,0,False,0.0193340717136521
NT,natural,unknown,other,other,False,103.73301836778047,0,False,-1.0668799016670216
NT,natural,unknown,other,other,False,141.1801052804433,0,False,-0.9262337125962706
NT,natural,unknown,other,other,False,148.54013066591762,0,False,-0.958571200587605
NT,natural,unknown,monitor,monitor,False,99.46198865460798,0,False,-0.4889116846829537
NT,natural,unknown,monitor,monitor,False,128.27626896898428,0,False,-0.7855089144719057
NT,natural,unknown,other,other,False,178.4207353933488,0,False,-0.4536176124166849
NT,natural,unknown,other,other,False,193.41750062495692,0,False,-0.3480294034506625
NT,natural,unknown,other,other,False,192.91280737113152,0,False,0.9215832190090988
NT,natural,unknown,monitor,monitor,False,194.198727942801,0,False,0.1265769955381394
NT,natural,unknown,monitor,monitor,False,156.25100813337306,0,False,-0.9262337125962706
NT,natural,unknown,monitor,monitor,False,106.42959684573412,0,False,1.6496507502195168
NT,natural,unknown,monitor,monitor,False,164.4140735040041,0,False,-0.7039540452435851
NT,natural,unknown,monitor,monitor,False,159.75360231218104,0,False,1.793362527384905
NT,natural,unknown,monitor,monitor,False,202.8807308127909,0,False,0.8987253134111501
NT,natural,unknown,monitor,monitor,False,150.62368074036772,0,False,1.5511419644271964
NT,natural,unknown,monitor,monitor,False,127.96031413684352,0,False,-1.03239534870548
NT,natural,unknown,monitor,monitor,False,140.40001953050256,0,False,-0.3679131951074997
NT,natural,unknown,monitor,monitor,False,159.05258616279914,0,False,0.9347454990056197
